title,genre,director,year,duration,gross,budget,cast_facebook_likes,votes,reviews,rating
Team America: World Police,Action,Trey Parker,2004,98,32774834,30000000,2609,136048,933,7.2
Shrek 2,Adventure,Andrew Adamson,2004,93,436471036,150000000,1148,314630,688,7.2
Troy,Adventure,Wolfgang Petersen,2004,196,133228348,175000000,17944,381672,1914,7.2
Anchorman: The Legend of Ron Burgundy,Comedy,Adam McKay,2004,98,84136909,26000000,656730,267921,758,7.2
Short Cut to Nirvana: Kumbh Mela,Documentary,Maurizio Benazzo,2004,85,381225,200000,66,131,28,7.2
Spider-Man 2,Action,Sam Raimi,2004,135,373377893,200000000,43388,411164,1603,7.3
The Life Aquatic with Steve Zissou,Adventure,Wes Anderson,2004,119,24006726,50000000,15757,139535,891,7.3
Super Size Me,Comedy,Morgan Spurlock,2004,100,11529368,65000,0,85028,597,7.3
Imaginary Heroes,Comedy,Dan Harris,2004,111,228524,4000000,768,8708,129,7.3
The Terminal,Comedy,Steven Spielberg,2004,128,77032279,60000000,16199,303864,747,7.3
Mean Creek,Crime,Jacob Aaron Estes,2004,90,603943,500000,2655,26407,280,7.3
Closer,Drama,Mike Nichols,2004,98,33987757,27000000,28027,168314,1115,7.3
Dawn of the Dead,Action,Zack Snyder,2004,110,58885635,26000000,10438,194422,1344,7.4
Dawn of the Dead,Action,Zack Snyder,2004,110,58885635,26000000,10438,194426,1344,7.4
Sideways,Adventure,Alexander Payne,2004,126,71502303,12000000,2170,149966,1120,7.5
Miracle,Biography,Gavin O'Connor,2004,135,64371181,28000000,1845,36636,418,7.5
The Aviator,Biography,Martin Scorsese,2004,170,102608827,110000000,34582,264318,1066,7.5
Fahrenheit 9/11,Documentary,Michael Moore,2004,122,119078393,6000000,1448,113152,1704,7.5
Garden State,Comedy,Zach Braff,2004,102,26781723,2500000,1655,187595,1183,7.6
Collateral,Crime,Michael Mann,2004,120,100003492,65000000,13581,293662,1135,7.6
Man on Fire,Action,Tony Scott,2004,146,77862546,70000000,20454,266310,861,7.7
Ray,Biography,Taylor Hackford,2004,178,75305995,40000000,5074,110394,642,7.7
Saw,Horror,James Wan,2004,103,55153403,1200000,5161,299127,1796,7.7
The Butterfly Effect,Sci-Fi,Eric Bress,2004,120,23947,13000000,12755,357579,1285,7.7
The Bourne Supremacy,Action,Paul Greengrass,2004,108,176049130,75000000,14161,348232,1045,7.8
Finding Neverland,Biography,Marc Forster,2004,101,51676606,25000000,58823,174591,858,7.8
The Notebook,Drama,Nick Cassavetes,2004,123,64286,29000000,34495,396396,1288,7.9
Kill Bill: Vol. 2,Action,Quentin Tarantino,2004,137,66207920,30000000,1959,512749,1239,8
The Incredibles,Action,Brad Bird,2004,115,261437578,92000000,1901,479166,1098,8
Before Sunset,Drama,Richard Linklater,2004,80,5792822,2700000,65,168398,703,8
Million Dollar Baby,Drama,Clint Eastwood,2004,132,100422786,30000000,28830,482064,1374,8.1
Eternal Sunshine of the Spotless Mind,Drama,Michel Gondry,2004,108,34126138,20000000,19364,666937,1787,8.3
Son of the Mask,Comedy,Lawrence Guterman,2005,94,17010646,84000000,1195,40751,317,2.2
BloodRayne,Action,Uwe Boll,2005,92,1550000,25000000,2930,30628,614,2.9
The Adventures of Sharkboy and Lavagirl 3-D,Action,Robert Rodriguez,2005,93,39177541,50000000,14899,20310,243,3.5
Underclassman,Action,Marcos Siega,2005,95,5654777,25000000,2165,4875,57,4.1
King's Ransom,Comedy,Jeffrey W. Byrd,2005,95,4006906,15000000,4990,3229,43,4.1
Boogeyman,Drama,Stephen Kay,2005,89,46363118,20000000,1383,25960,529,4.1
xXx: State of the Union,Action,Lee Tamahori,2005,101,26082914,87000000,993,51349,290,4.3
The Salon,Comedy,Mark Brown,2005,90,92362,1500000,3138,444,19,4.3
Are We There Yet?,Adventure,Brian Levant,2005,95,82301521,32000000,3558,22679,224,4.6
Deuce Bigalow: European Gigolo,Comedy,Mike Bigelow,2005,83,22264487,22000000,1729,41239,264,4.6
Herbie Fully Loaded,Adventure,Angela Robinson,2005,101,66002004,50000000,2177,36431,285,4.7
Miss Congeniality 2: Armed and Fabulous,Action,John Pasquin,2005,115,48472213,45000000,4305,51252,267,5
Stealth,Action,Rob Cohen,2005,121,31704416,135000000,2705,45455,533,5
Get Rich or Die Tryin',Biography,Jim Sheridan,2005,117,30981850,40000000,3969,35834,382,5
Cursed,Comedy,Wes Craven,2005,99,19294901,35000000,2535,26126,483,5
The Dukes of Hazzard,Action,Jay Chandrasekhar,2005,107,80270227,50000000,2297,66382,756,5.1
The Cave,Adventure,Bruce Hunt,2005,93,14888028,30000000,2178,28606,402,5.1
Man of the House,Action,Stephen Herek,2005,100,19118247,40000000,6171,19829,153,5.4
Cheaper by the Dozen 2,Adventure,Adam Shankman,2005,94,82569532,60000000,20348,42737,205,5.4
Aeon Flux,Action,Karyn Kusama,2005,93,25857987,62000000,10185,110614,710,5.5
The Wendell Baker Story,Comedy,Andrew Wilson,2005,99,127144,8000000,9608,5159,59,5.5
The Perfect Man,Comedy,Mark Rosman,2005,100,16247775,25000000,4789,23527,169,5.5
Diary of a Mad Black Woman,Comedy,Darren Grant,2005,116,50382128,5500000,2723,10472,264,5.6
Kicking & Screaming,Comedy,Jesse Dylan,2005,95,52580895,45000000,27351,30255,212,5.6
Dark Water,Drama,Walter Salles,2005,103,25472967,30000000,1467,44966,607,5.6
Trust the Man,Comedy,Bart Freundlich,2005,103,1530535,9000000,1721,7833,163,5.7
Be Cool,Comedy,F. Gary Gray,2005,118,55808744,53000000,15889,59435,484,5.7
Into the Blue,Action,John Stockwell,2005,110,18472363,50000000,25049,63599,328,5.8
Chicken Little,Adventure,Mark Dindal,2005,81,135381507,150000000,2252,63912,412,5.8
The Legend of Zorro,Action,Martin Campbell,2005,129,45356386,75000000,2864,71574,381,5.9
The Brothers Grimm,Action,Terry Gilliam,2005,118,37899638,88000000,27114,98472,725,5.9
Must Love Dogs,Comedy,Gary David Goldberg,2005,98,43894863,30000000,4879,25883,382,5.9
Guess Who,Comedy,Kevin Rodney Sullivan,2005,105,67962333,35000000,2689,33887,264,5.9
Cry_Wolf,Drama,Jeff Wadlow,2005,90,10042266,1000000,3155,23021,357,5.9
Slow Burn,Drama,Wayne Beach,2005,93,1181197,15500000,4329,3299,64,5.9
Hide and Seek,Drama,John Polson,2005,101,51097664,30000000,23328,70205,630,5.9
Hostel,Horror,Eli Roth,2005,93,47277326,4800000,2990,138814,1819,5.9
The Amityville Horror,Drama,Andrew Douglas,2005,90,64255243,19000000,120797,80903,738,6
Zathura: A Space Adventure,Action,Jon Favreau,2005,101,28045540,65000000,32232,67707,338,6.1
The Wedding Date,Comedy,Clare Kilner,2005,90,31585300,15000000,2666,38248,353,6.1
Fun with Dick and Jane,Comedy,Dean Parisot,2005,90,110332737,100000000,1997,110788,393,6.1
Sky High,Adventure,Mike Mitchell,2005,100,63939454,35000000,2968,61321,344,6.2
Fever Pitch,Comedy,Bobby Farrelly,2005,104,42071069,30000000,1827,36223,332,6.2
The Game of Their Lives,Drama,David Anspaugh,2005,101,375474,20000000,20354,2613,67,6.2
Flightplan,Drama,Robert Schwentke,2005,98,89706988,55000000,2287,126746,831,6.2
Assault on Precinct 13,Action,Jean-Francois Richet,2005,109,19976073,20000000,3148,65979,372,6.3
Robots,Adventure,Chris Wedge,2005,91,128200012,75000000,1804,103022,432,6.3
The Family Stone,Comedy,Thomas Bezucha,2005,103,6061759,17000000,1615,49077,617,6.3
Edmond,Drama,Stuart Gordon,2005,82,131617,10000000,5761,9971,198,6.3
Pooh's Heffalump Movie,Animation,Frank Nissen,2005,68,18081626,20000000,861,4180,77,6.4
Winter Passing,Comedy,Adam Rapp,2005,98,101228,3500000,20009,7228,103,6.4
Because of Winn-Dixie,Comedy,Wayne Wang,2005,106,32645546,14000000,3462,8427,184,6.4
The Producers,Comedy,Susan Stroman,2005,134,19377727,45000000,24351,35140,577,6.4
Elizabethtown,Comedy,Cameron Crowe,2005,123,26838389,57000000,12700,58658,685,6.4
The Longest Yard,Comedy,Peter Segal,2005,113,158115031,82000000,13693,130070,450,6.4
The Quiet,Drama,Jamie Babbit,2005,91,381186,900000,3299,13485,155,6.4
Hoodwinked!,Action,Cory Edwards,2005,80,51053787,17500000,14385,45900,389,6.5
Mr. & Mrs. Smith,Action,Doug Liman,2005,126,186336103,120000000,22722,348861,1031,6.5
War of the Worlds,Adventure,Steven Spielberg,2005,116,234277056,132000000,12758,334345,3142,6.5
Boynton Beach Club,Comedy,Susan Seidelman,2005,105,3123749,1500000,1231,746,62,6.5
Down in the Valley,Drama,David Jacobson,2005,108,568695,8000000,3921,16617,184,6.5
The Skeleton Key,Horror,Iain Softley,2005,104,47806295,43000000,1274,87447,564,6.5
Red Eye,Mystery,Wes Craven,2005,85,57859105,26000000,1090,94108,897,6.5
Hostage,Action,Florent-Emilio Siri,2005,113,34636443,52000000,103354,93790,440,6.6
Lonesome Jim,Comedy,Steve Buscemi,2005,91,154077,500000,1440,6884,134,6.6
Thumbsucker,Comedy,Mike Mills,2005,96,1325073,4000000,1208,18762,205,6.6
The Weather Man,Comedy,Gore Verbinski,2005,102,12469811,22000000,13156,69172,472,6.6
The Sisterhood of the Traveling Pants,Comedy,Ken Kwapis,2005,119,39008741,25000000,6862,44838,311,6.6
Nanny McPhee,Comedy,Kirk Jones,2005,97,47124400,25000000,17278,49676,309,6.6
A Lot Like Love,Comedy,Nigel Cole,2005,107,21835784,30000000,1095,58297,273,6.6
Hitch,Comedy,Andy Tennant,2005,118,177575142,70000000,13426,244840,543,6.6
The Work and the Glory II: American Zion,Drama,Sterling Van Wagenen,2005,100,2024854,6500000,1942,564,25,6.6
Derailed,Drama,Mikael Hafstrom,2005,112,36020063,22000000,2019,62584,491,6.6
Saw II,Horror,Darren Lynn Bousman,2005,95,87025093,4000000,4134,188679,1114,6.6
The Great Raid,Action,John Dahl,2005,132,10166502,80000000,12133,18209,264,6.7
Charlie and the Chocolate Factory,Adventure,Tim Burton,2005,115,206456431,150000000,57844,320284,1637,6.7
The New World,Biography,Terrence Malick,2005,150,12712093,30000000,27829,70771,893,6.7
Just Like Heaven,Comedy,Mark Waters,2005,95,48291624,58000000,2876,82819,405,6.7
The Ballad of Jack and Rose,Drama,Rebecca Miller,2005,112,712294,1500000,859,9408,143,6.7
The Lost City,Drama,Andy Garcia,2005,144,2483955,9600000,1674,8369,217,6.7
The Exorcism of Emily Rose,Drama,Scott Derrickson,2005,122,75072454,20000000,2759,96569,755,6.7
The Hitchhiker's Guide to the Galaxy,Adventure,Garth Jennings,2005,109,51019112,50000000,14073,155745,1329,6.8
Inside Deep Throat,Biography,Fenton Bailey,2005,89,653621,2000000,1136,5615,187,6.8
Waiting...,Comedy,Rob McKittrick,2005,94,16101109,3000000,19957,76467,327,6.8
The Matador,Comedy,Richard Shepard,2005,96,12570442,10000000,4053,40514,425,6.8
Goal! The Dream Begins,Drama,Danny Cannon,2005,118,4280577,10000000,2859,50919,204,6.8
Four Brothers,Action,John Singleton,2005,109,74484168,45000000,2740,109894,463,6.9
The Island,Action,Michael Bay,2005,136,35799026,126000000,34838,263336,1156,6.9
The Island,Action,Michael Bay,2005,136,35799026,126000000,34839,263329,1156,6.9
Madagascar,Adventure,Eric Darnell,2005,86,193136719,75000000,1777,266636,566,6.9
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",Adventure,Andrew Adamson,2005,150,291709845,180000000,1317,286506,1747,6.9
The Upside of Anger,Comedy,Mike Binder,2005,118,18761993,9000000,2944,19007,344,6.9
The Devil's Rejects,Crime,Rob Zombie,2005,109,16901126,7000000,3544,76267,948,6.9
Dreamer: Inspired by a True Story,Drama,John Gatins,2005,98,32701088,32000000,1400,10018,183,6.9
Harsh Times,Action,David Ayer,2005,116,3335839,2000000,50313,54657,340,7
End of the Spear,Adventure,Jim Hanon,2005,108,11703287,10000000,1058,4360,195,7
The Chumscrubber,Comedy,Arie Posin,2005,108,49526,6800000,2119,16299,203,7
An Unfinished Life,Drama,Lasse Hallstrom,2005,108,8535575,30000000,11519,24033,259,7
Rent,Drama,Chris Columbus,2005,135,29077547,40000000,5917,41685,900,7
Syriana,Drama,Stephen Gaghan,2005,128,50815288,50000000,14747,109188,983,7
Syriana,Drama,Stephen Gaghan,2005,128,50815288,50000000,14747,109191,983,7
Lords of Dogtown,Biography,Catherine Hardwicke,2005,107,11008432,25000000,16651,43903,313,7.1
The 40-Year-Old Virgin,Comedy,Judd Apatow,2005,133,109243478,26000000,8341,313797,763,7.1
Hard Candy,Crime,David Slade,2005,104,1007962,950000,117,131969,882,7.1
The Jacket,Drama,John Maybury,2005,94,6301131,29000000,5085,92850,424,7.1
Kingdom of Heaven,Action,Ridley Scott,2005,194,47396698,130000000,19600,217373,1181,7.2
Dave Chappelle's Block Party,Comedy,Michel Gondry,2005,100,11694528,3000000,2165,7721,186,7.2
Coach Carter,Drama,Thomas Carter,2005,136,67253092,30000000,20299,92702,336,7.2
Duma,Adventure,Carroll Ballard,2005,100,860002,12000000,1579,6454,81,7.3
North Country,Drama,Niki Caro,2005,126,18324242,35000000,20563,32815,369,7.3
Memoirs of a Geisha,Drama,Rob Marshall,2005,145,57010853,85000000,2380,119286,777,7.3
Transamerica,Adventure,Duncan Tucker,2005,103,9013113,1000000,3192,36321,399,7.4
Corpse Bride,Animation,Tim Burton,2005,77,53337608,40000000,60683,188785,734,7.4
The Squid and the Whale,Comedy,Noah Baumbach,2005,88,7362100,1500000,479,60295,342,7.4
Me and You and Everyone We Know,Comedy,Miranda July,2005,91,3885134,2000000,1349,31130,394,7.4
Hustle & Flow,Crime,Craig Brewer,2005,116,22201636,8000000,727,33567,365,7.4
"Good Night, and Good Luck.",Biography,George Clooney,2005,93,31501218,7500000,22745,84070,877,7.5
A History of Violence,Crime,David Cronenberg,2005,96,31493782,32000000,12754,186606,1566,7.5
Star Wars: Episode III - Revenge of the Sith,Action,George Lucas,2005,140,380262555,113000000,44042,520104,3645,7.6
Thank You for Smoking,Comedy,Jason Reitman,2005,92,24792061,6500000,25092,191998,562,7.6
Kiss Kiss Bang Bang,Comedy,Shane Black,2005,103,4235837,15000000,23932,175962,559,7.6
Lord of War,Crime,Andrew Niccol,2005,122,24127895,50000000,12076,248123,605,7.6
Brokeback Mountain,Drama,Ang Lee,2005,134,83025853,14000000,39789,259837,2611,7.7
Murderball,Documentary,Henry Alex Rubin,2005,88,1523883,1750211,15,9037,180,7.8
Walk the Line,Biography,James Mangold,2005,153,119518352,28000000,1383,188637,1106,7.9
Serenity,Action,Joss Whedon,2005,119,25335935,40000000,2853,242599,1870,8
Cinderella Man,Biography,Ron Howard,2005,144,61644321,88000000,2523,148238,730,8
Sin City,Crime,Frank Miller,2005,147,74098862,40000000,3924,656640,2106,8.1
V for Vendetta,Action,James McTeigue,2005,132,70496802,54000000,22417,791783,2567,8.2
Batman Begins,Action,Christopher Nolan,2005,128,205343774,150000000,59558,980946,3163,8.3
Crossover,Action,Preston A. Whitmore II,2006,95,7009668,5600000,2000,8707,61,2.1
Date Movie,Comedy,Aaron Seltzer,2006,85,48546578,20000000,6539,50415,712,2.7
Doogal,Adventure,Dave Borthwick,2006,77,7382993,20000000,2185,3851,145,2.8
Phat Girlz,Comedy,Nnegest Likke,2006,99,7059537,3000000,2321,8279,138,3
Larry the Cable Guy: Health Inspector,Comedy,Trent Cooper,2006,89,15655665,4000000,2135,9104,149,3.1
Zoom,Action,Peter Hewitt,2006,83,11631245,35000000,5022,15015,176,4.2
Littleman,Comedy,Keenen Ivory Wayans,2006,98,58255287,64000000,6334,39471,265,4.3
Ultraviolet,Action,Kurt Wimmer,2006,94,18500966,30000000,15271,70341,988,4.4
The Shaggy Dog,Comedy,Brian Robbins,2006,98,61112916,50000000,24664,14888,159,4.4
Happily N'Ever After,Adventure,Paul Bolger,2006,75,15519841,47000000,6863,8693,164,4.5
Black Christmas,Horror,Glen Morgan,2006,94,16235293,9000000,1611,19918,464,4.5
Big Momma's House 2,Comedy,John Whitesell,2006,99,70163652,40000000,19334,31968,147,4.6
The Marine,Action,John Bonito,2006,92,18843314,20000000,1045,27486,362,4.7
Pulse,Drama,Jim Sonzero,2006,90,20259297,20000000,19952,24969,406,4.7
DOA: Dead or Alive,Action,Corey Yuen,2006,87,480314,21000000,4473,38503,290,4.8
Madea's Family Reunion,Comedy,Tyler Perry,2006,107,63231524,6000000,5264,8962,183,5
When a Stranger Calls,Horror,Simon West,2006,87,47860214,15000000,2452,34711,620,5
The Grudge 2,Horror,Takashi Shimizu,2006,137,39143839,20000000,5746,38658,415,5
Eragon,Action,Stefen Fangmeier,2006,104,75030163,100000000,4487,108076,1860,5.1
Unaccompanied Minors,Adventure,Paul Feig,2006,90,16647384,26000000,4431,8398,129,5.1
My Super Ex-Girlfriend,Comedy,Ivan Reitman,2006,95,22526144,30000000,2737,53884,350,5.1
Scary Movie 4,Comedy,David Zucker,2006,89,90703745,45000000,5855,93748,561,5.1
Stay Alive,Horror,William Brent Bell,2006,75,23078294,9000000,3590,25870,393,5.1
The Covenant,Action,Renny Harlin,2006,97,23292105,20000000,3261,39541,454,5.3
Aquamarine,Comedy,Elizabeth Allen Rosenbaum,2006,104,18595716,12000000,3963,30462,216,5.3
Just My Luck,Comedy,Donald Petrie,2006,103,17324744,28000000,3211,44103,247,5.3
Employee of the Month,Comedy,Greg Coolidge,2006,103,28435406,12000000,4441,37681,236,5.5
American Dreamz,Comedy,Paul Weitz,2006,107,7156725,19000000,5992,22639,370,5.5
Poseidon,Action,Wolfgang Petersen,2006,98,60655503,160000000,92456,82380,860,5.6
Hoot,Adventure,Wil Shriner,2006,91,8080116,15000000,10732,6562,115,5.6
The Pink Panther,Adventure,Shawn Levy,2006,93,82226474,65000000,1267,65499,571,5.6
The Benchwarmers,Comedy,Dennis Dugan,2006,75,57651794,33000000,13125,40651,299,5.6
Failure to Launch,Comedy,Tom Dey,2006,95,88658172,50000000,37967,58412,385,5.6
"You, Me and Dupree",Comedy,Anthony Russo,2006,110,75604320,54000000,847,68417,331,5.6
Lady in the Water,Drama,M. Night Shyamalan,2006,110,42272747,70000000,5609,78635,1324,5.6
Eye of the Dolphin,Comedy,Michael D. Sellers,2006,100,71904,2500000,1491,806,36,5.7
The Break-Up,Comedy,Peyton Reed,2006,106,118683135,52000000,8315,102167,666,5.8
Firewall,Crime,Richard Loncraine,2006,105,48745150,50000000,101383,50170,477,5.8
The Ant Bully,Adventure,John A. Davis,2006,88,28133159,50000000,33822,30055,175,5.9
Friends with Money,Comedy,Nicole Holofcener,2006,88,13367101,6500000,1140,19715,277,5.9
School for Scoundrels,Comedy,Todd Phillips,2006,108,17803796,20000000,4374,26100,207,5.9
The Night Listener,Crime,Patrick Stettner,2006,81,7825820,4000000,50831,13086,281,5.9
The Texas Chainsaw Massacre: The Beginning,Horror,Jonathan Liebesman,2006,83,39511038,16000000,26402,56269,562,5.9
The Fast and the Furious: Tokyo Drift,Action,Justin Lin,2006,104,62494975,85000000,1235,179500,536,6
World Trade Center,Drama,Oliver Stone,2006,129,70236496,63000000,14421,67395,806,6
The Sentinel,Action,Clark Johnson,2006,107,36279230,60000000,1352,42144,374,6.1
Superman Returns,Action,Bryan Singer,2006,169,200069408,209000000,29991,240396,2801,6.1
Alone with Her,Crime,Eric Nicholas,2006,78,10018,1000000,509,3228,102,6.1
The Good German,Drama,Steven Soderbergh,2006,105,1304837,32000000,2355,21481,358,6.1
Flicka,Adventure,Michael Mayer,2006,95,20998709,15000000,3845,6095,122,6.2
Open Season,Adventure,Roger Allers,2006,83,84303558,85000000,6081,65270,207,6.2
Poultrygeist: Night of the Chicken Dead,Comedy,Lloyd Kaufman,2006,103,23000,500000,1411,5931,146,6.2
I Want Someone to Eat Cheese With,Comedy,Jeff Garlin,2006,80,194568,1500000,2179,2963,60,6.2
Running with Scissors,Comedy,Ryan Murphy,2006,122,6754898,12000000,1291,20000,320,6.2
Man of the Year,Comedy,Barry Levinson,2006,115,37442180,20000000,52571,28005,347,6.2
Idlewild,Crime,Bryan Barber,2006,121,12549485,15000000,3633,4603,172,6.2
Come Early Morning,Drama,Joey Lauren Adams,2006,97,117560,6000000,1081,2330,65,6.2
Saw III,Horror,Darren Lynn Bousman,2006,121,80150343,10000000,3189,142115,824,6.2
The Astronaut Farmer,Adventure,Michael Polish,2006,104,10996440,13000000,27806,19707,241,6.3
One Night with the King,Biography,Michael O. Sajbel,2006,123,13391174,20000000,908,5796,213,6.3
For Your Consideration,Comedy,Christopher Guest,2006,86,5542025,12000000,3535,12197,294,6.3
Beerfest,Comedy,Jay Chandrasekhar,2006,110,19179969,17500000,35345,54710,268,6.3
Night at the Museum,Action,Shawn Levy,2006,108,250863268,110000000,55486,234480,623,6.4
Last Holiday,Adventure,Wayne Wang,2006,112,38360195,45000000,3757,21215,215,6.4
Factory Girl,Biography,George Hickenlooper,2006,99,1654367,7000000,6526,18355,223,6.4
Marie Antoinette,Biography,Sofia Coppola,2006,123,15962471,40000000,7243,79892,879,6.4
She's the Man,Comedy,Andy Fickman,2006,105,33687630,20000000,20109,116762,352,6.4
Click,Comedy,Frank Coraci,2006,107,137340146,70000000,12700,246492,858,6.4
10th & Wolf,Crime,Robert Moresco,2006,107,53481,8000000,2512,5557,60,6.4
The Hills Have Eyes,Horror,Alexandre Aja,2006,108,41777564,15000000,4500,129719,1120,6.4
Happy Feet,Animation,George Miller,2006,108,197992827,100000000,70996,132501,754,6.5
Fur: An Imaginary Portrait of Diane Arbus,Biography,Steven Shainberg,2006,122,220914,16800000,25173,13239,202,6.5
Shortbus,Comedy,John Cameron Mitchell,2006,101,1984378,2000000,226,27346,366,6.5
Ira & Abby,Comedy,Robert Cary,2006,101,220234,3500000,3574,1950,54,6.5
Step Up,Crime,Anne Fletcher,2006,104,65269010,12000000,21380,90938,378,6.5
Dreamgirls,Drama,Bill Condon,2006,130,103338338,70000000,2856,55901,744,6.5
Talladega Nights: The Ballad of Ricky Bobby,Action,Adam McKay,2006,122,148213377,73000000,12410,130776,601,6.6
Curious George,Adventure,Matthew O'Callaghan,2006,78,58336565,50000000,11124,12845,205,6.6
Monster House,Animation,Gil Kenan,2006,91,73661010,75000000,17299,71137,419,6.6
Sherrybaby,Drama,Laurie Collyer,2006,96,198407,2000000,774,10282,156,6.6
Valley of the Heart's Delight,Drama,Tim Boxell,2006,100,118666,2500000,1064,91,6,6.6
The Da Vinci Code,Mystery,Ron Howard,2006,174,217536138,125000000,16008,314253,2260,6.6
The Hoax,Comedy,Lasse Hallstrom,2006,116,7156933,25000000,1134,14581,216,6.7
Facing the Giants,Drama,Alex Kendrick,2006,111,10174663,100000,916,12399,413,6.7
Old Joy,Drama,Kelly Reichardt,2006,76,255352,300000,132,4423,145,6.7
Take the Lead,Drama,Liz Friedlander,2006,118,34703228,30000000,3797,21767,228,6.7
Underworld: Evolution,Action,Len Wiseman,2006,102,62318875,50000000,2998,156225,708,6.8
Over the Hedge,Adventure,Tim Johnson,2006,83,155019340,80000000,22813,127345,416,6.8
Copying Beethoven,Biography,Agnieszka Holland,2006,104,352786,11000000,150,11132,164,6.8
A Prairie Home Companion,Comedy,Robert Altman,2006,105,20338609,10000000,12946,19655,491,6.8
The Devil Wears Prada,Comedy,David Frankel,2006,109,124732962,35000000,23923,286178,839,6.8
The Nativity Story,Drama,Catherine Hardwicke,2006,101,37617947,30000000,966,8143,325,6.8
The Lake House,Drama,Alejandro Agresti,2006,99,52320979,40000000,18693,114321,723,6.8
Ice Age: The Meltdown,Action,Carlos Saldanha,2006,115,195329763,80000000,1815,194249,417,6.9
Mission: Impossible III,Action,J.J. Abrams,2006,124,133382309,150000000,34817,256695,1181,6.9
Special,Comedy,Hal Haberman,2006,81,6387,1000000,2694,4862,93,6.9
A Good Year,Comedy,Ridley Scott,2006,117,7458269,35000000,3611,70698,343,6.9
The Holiday,Comedy,Nancy Meyers,2006,138,63224849,85000000,17423,182757,640,6.9
Gridiron Gang,Crime,Phil Joanou,2006,125,38432823,30000000,15811,33067,219,6.9
Crank,Action,Mark Neveldine,2006,93,27829874,12000000,28767,196422,614,7
Bobby,Drama,Emilio Estevez,2006,112,11204499,14000000,13528,38142,465,7
Black Snake Moan,Drama,Craig Brewer,2006,116,9396487,15000000,5012,52421,397,7
A Scanner Darkly,Animation,Richard Linklater,2006,100,5480996,8700000,39507,89383,525,7.1
Infamous,Biography,Douglas McGrath,2006,118,1150403,13000000,3474,14143,231,7.1
Quinceanera,Drama,Richard Glatzer,2006,90,1689999,400000,771,3675,117,7.1
We Are Marshall,Drama,McG,2006,131,43532294,65000000,12088,46951,271,7.1
Flags of Our Fathers,Drama,Clint Eastwood,2006,135,33574332,90000000,24468,101221,694,7.1
Cars,Adventure,John Lasseter,2006,117,244052771,120000000,4905,263853,840,7.2
Half Nelson,Drama,Ryan Fleck,2006,106,2694973,700000,33734,70885,397,7.2
Rocky Balboa,Drama,Sylvester Stallone,2006,139,70269171,24000000,15111,162130,1247,7.2
Pirates of the Caribbean: Dead Man's Chest,Action,Gore Verbinski,2006,151,423032628,225000000,48486,522040,2145,7.3
Rescue Dawn,Adventure,Werner Herzog,2006,120,5484375,10000000,24270,84641,403,7.3
Eight Below,Adventure,Frank Marshall,2006,120,81593527,40000000,24300,48806,381,7.3
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Comedy,Larry Charles,2006,82,128505958,18000000,505,297014,1541,7.3
The Fountain,Drama,Darren Aronofsky,2006,96,10139254,35000000,24640,190990,1189,7.3
Wristcutters: A Love Story,Comedy,Goran Dukic,2006,88,104077,1000000,4720,46076,205,7.4
Clerks II,Comedy,Kevin Smith,2006,97,24138847,5000000,2990,114797,646,7.4
Journey from the Fall,Drama,Ham Tran,2006,135,638951,1592000,83,775,34,7.4
Bella,Drama,Alejandro Monteverde,2006,91,8108247,3300000,2747,9607,234,7.4
Stranger Than Fiction,Comedy,Marc Forster,2006,113,40137776,38000000,8362,186977,782,7.6
Inside Man,Crime,Spike Lee,2006,129,88504640,45000000,19148,273108,876,7.6
United 93,Drama,Paul Greengrass,2006,111,31471430,15000000,313,83374,1107,7.6
The Illusionist,Drama,Neil Burger,2006,110,39825798,16000000,4210,295375,881,7.6
Little Children,Drama,Todd Field,2006,137,5459824,26000000,15337,92781,571,7.6
The Trials of Darryl Hunt,Crime,Ricki Stern,2006,106,1111,200000,2,771,21,7.7
Who Killed the Electric Car?,Documentary,Chris Paine,2006,92,1677838,1000000,1447,11283,242,7.7
Apocalypto,Action,Mel Gibson,2006,139,50859889,40000000,848,236000,1326,7.8
Little Miss Sunshine,Comedy,Jonathan Dayton,2006,101,59889948,8000000,7227,355810,1159,7.9
Letters from Iwo Jima,Drama,Clint Eastwood,2006,141,13753931,19000000,751,132149,567,7.9
Children of Men,Drama,Alfonso Cuaron,2006,109,35286428,76000000,16479,361767,1578,7.9
The Pursuit of Happyness,Biography,Gabriele Muccino,2006,117,162586036,55000000,11036,338383,812,8
The Departed,Crime,Martin Scorsese,2006,151,132373442,90000000,45648,873649,2406,8.5
The Prestige,Drama,Christopher Nolan,2006,130,53082743,40000000,63986,844052,1441,8.5
Who's Your Caddy?,Comedy,Don Michael Paul,2007,93,5694308,7000000,3128,13815,71,2
Epic Movie,Adventure,Jason Friedberg,2007,93,39737645,20000000,4293,89687,778,2.3
Daddy Day Camp,Comedy,Fred Savage,2007,89,13235267,6000000,1752,12339,84,2.9
Blonde Ambition,Comedy,Scott Marshall,2007,93,5561,10000000,4725,4995,54,3.9
The Legend of God's Gun,Western,Mike Bruce,2007,78,243768,30000,72,143,12,4.1
Code Name: The Cleaner,Action,Les Mayfield,2007,91,8104069,20000000,2700,9785,79,4.5
